service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9763,1,1,1,1,0,0,0,20200226,20200526
8506,0,0,0,0,0,1,0,20200314,20200405
2292,0,0,0,0,0,1,0,20200229,20200307
4292,0,0,0,0,0,0,1,20200301,20200524
12322,0,0,0,1,0,0,0,20200227,20200305
12323,0,0,0,0,0,1,0,20200229,20200523
12324,0,0,0,1,1,0,0,20200312,20200412
12325,0,0,0,0,0,1,1,20200229,20200405
4035,0,0,0,0,0,1,1,20200229,20200307
6205,1,1,1,1,1,0,0,20200226,20200526
6203,0,0,0,0,0,0,1,20200301,20200524
1100,0,0,0,0,0,1,0,20200229,20200523
12329,0,0,0,0,0,0,1,20200413,20200426
12330,1,1,1,1,1,1,0,20200226,20200405
12331,0,0,0,0,0,0,1,20200517,20200524
12332,0,0,0,0,0,0,1,20200503,20200510
9020,1,1,1,1,1,0,0,20200316,20200405
12333,0,0,0,0,1,1,0,20200425,20200509
12335,0,0,0,0,0,0,1,20200419,20200510
6945,1,1,1,1,0,0,0,20200504,20200507
12336,0,0,0,0,0,0,1,20200301,20200405
12337,0,0,0,0,0,0,1,20200517,20200524
6853,0,0,0,0,0,1,0,20200314,20200405
12338,0,0,0,1,0,1,0,20200516,20200523
12339,0,0,0,0,0,0,1,20200413,20200524
12340,0,0,0,0,1,1,0,20200425,20200509
6948,1,1,1,1,1,0,0,20200316,20200405
12341,0,0,0,0,1,1,0,20200425,20200509
531,1,1,1,1,1,0,0,20200226,20200526
11790,1,1,1,1,1,0,0,20200226,20200526
7191,0,0,0,0,0,0,1,20200301,20200524
34,1,1,1,1,0,0,0,20200427,20200515
5145,0,0,0,0,1,1,0,20200425,20200509
12342,0,0,0,0,0,1,0,20200229,20200404
6334,1,1,1,1,1,0,0,20200309,20200410
12343,0,0,0,0,0,0,1,20200301,20200524
12344,1,1,1,0,0,0,0,20200309,20200412
12345,0,0,0,0,1,1,1,20200229,20200405
12346,0,0,0,0,1,0,0,20200515,20200522
12347,0,0,0,0,1,1,0,20200425,20200509
1694,0,0,0,0,1,0,0,20200228,20200522
2864,1,1,1,1,0,0,0,20200427,20200515
12348,0,0,0,0,1,1,0,20200425,20200509
12349,0,0,0,0,0,1,0,20200229,20200418
6332,1,1,1,1,1,0,0,20200226,20200306
12350,0,0,0,0,0,0,1,20200517,20200524
12351,0,0,0,0,0,0,1,20200419,20200510
12352,0,0,0,0,0,1,1,20200226,20200405
1099,1,1,1,1,1,0,0,20200309,20200526
12353,0,0,0,0,0,0,1,20200419,20200510
12354,0,0,0,1,0,1,0,20200516,20200523
12355,1,0,0,0,0,0,0,20200302,20200525
12357,0,0,0,0,0,0,1,20200419,20200426
12358,0,0,0,0,0,0,1,20200301,20200524
12359,0,0,0,0,1,1,0,20200425,20200509
12360,1,1,1,1,1,0,0,20200226,20200526
12361,0,0,0,0,0,1,1,20200308,20200405
12362,0,0,0,0,0,0,1,20200419,20200510
12364,1,1,1,0,1,0,0,20200226,20200306
12365,0,1,1,1,0,0,0,20200226,20200517
12366,0,0,0,0,0,1,0,20200314,20200404
11201,0,0,0,0,0,1,1,20200229,20200405
11219,0,0,0,0,0,1,1,20200309,20200405
2958,0,0,0,0,1,1,0,20200425,20200502
9551,1,1,1,1,1,0,0,20200406,20200510
6319,0,0,0,0,0,0,1,20200308,20200524
11221,0,0,0,0,0,1,1,20200229,20200405
11220,1,1,1,1,1,0,0,20200316,20200405
2932,1,1,1,1,1,0,0,20200323,20200426
2827,0,0,0,0,1,1,0,20200425,20200502
2828,0,0,0,0,0,1,1,20200229,20200419
2826,0,0,0,0,0,0,1,20200413,20200419
498,1,1,1,1,1,0,0,20200226,20200306
11208,1,1,1,1,1,0,0,20200226,20200306
5459,0,0,0,0,0,1,0,20200314,20200405
377,1,1,1,1,1,0,0,20200226,20200526
115,0,0,0,0,0,1,0,20200321,20200328
2960,0,0,0,0,0,1,1,20200229,20200307
499,1,1,1,1,1,0,0,20200309,20200526
10927,1,1,1,1,1,0,0,20200226,20200306
379,1,1,1,1,1,0,0,20200309,20200320
11209,0,0,0,0,0,0,1,20200308,20200524
1638,1,1,1,1,1,0,0,20200511,20200526
1556,1,1,1,1,1,0,0,20200226,20200306
4034,0,0,0,0,0,1,1,20200308,20200405
4032,1,1,1,1,1,0,0,20200511,20200526
11210,1,1,1,1,1,0,0,20200309,20200526
5870,1,1,1,1,1,0,0,20200309,20200526
5872,0,0,0,0,0,1,1,20200229,20200419
9792,1,1,1,1,1,0,0,20200226,20200526
9791,0,0,0,0,0,1,1,20200308,20200405
2922,1,1,1,1,1,0,0,20200226,20200526
11204,1,1,1,1,1,0,0,20200226,20200526
2959,0,0,0,0,1,0,0,20200228,20200322
12367,0,0,0,0,1,1,0,20200508,20200509
12368,1,0,0,0,0,0,0,20200316,20200405
12369,1,1,1,1,1,1,0,20200316,20200405
12370,0,0,0,0,1,1,0,20200508,20200509
12372,0,0,0,0,1,1,0,20200508,20200509
12374,1,1,1,1,0,0,0,20200302,20200517
12375,1,0,0,0,0,0,0,20200302,20200525
12376,0,0,0,0,1,1,0,20200425,20200509
12377,0,0,0,0,0,0,1,20200301,20200405
12378,0,0,0,0,1,1,0,20200425,20200509
12379,0,0,0,0,0,1,1,20200229,20200405
12381,0,0,0,0,0,0,1,20200419,20200510
12382,0,0,0,0,1,1,0,20200508,20200509
12383,0,0,0,0,1,1,0,20200501,20200509
12384,0,0,0,0,0,0,1,20200517,20200524
12385,0,0,0,0,0,1,1,20200314,20200405
12386,1,1,1,1,1,0,0,20200420,20200510
12388,0,0,0,1,0,1,0,20200516,20200523
12389,0,0,0,0,0,0,1,20200419,20200510
12390,0,0,0,0,1,1,0,20200501,20200509
12391,0,0,0,0,0,0,1,20200517,20200524
12392,1,1,0,0,0,0,0,20200414,20200526
12393,1,1,1,1,1,1,1,20200316,20200405
12394,0,0,0,0,1,1,0,20200425,20200509
6325,0,0,0,0,0,0,1,20200308,20200405
12396,0,1,1,1,1,0,0,20200316,20200405
12398,0,0,0,0,0,0,1,20200419,20200510
8253,0,0,0,0,0,1,0,20200229,20200523
4297,0,0,0,0,1,1,0,20200425,20200509
11801,1,1,1,1,1,0,0,20200413,20200526
12399,0,0,0,0,0,0,1,20200419,20200503
1096,0,0,0,0,0,0,1,20200419,20200510
12401,0,0,0,0,0,0,1,20200308,20200405
12402,0,0,0,0,0,0,1,20200517,20200524
12403,0,0,0,0,0,0,1,20200419,20200510
12404,0,0,0,0,0,0,1,20200301,20200405
12405,0,0,0,0,0,0,1,20200419,20200510
12406,0,0,0,0,0,0,1,20200517,20200524
12407,0,0,0,1,0,1,0,20200516,20200523
12408,0,0,0,0,0,0,1,20200413,20200524
12409,1,1,1,1,1,1,1,20200309,20200405
12410,0,0,0,0,1,0,0,20200306,20200522
1274,0,0,1,1,1,0,0,20200226,20200228
12411,0,1,1,1,0,0,0,20200226,20200517
6427,0,0,0,0,1,0,0,20200420,20200510
12412,0,0,0,0,0,1,1,20200229,20200405
1315,0,0,0,0,0,1,1,20200229,20200301
12413,0,0,0,0,0,1,0,20200229,20200418
12414,0,0,0,0,0,0,1,20200301,20200510
5795,0,0,0,0,0,0,1,20200308,20200405
10730,1,1,1,1,1,0,0,20200226,20200306
11194,1,1,1,1,1,0,0,20200316,20200405
11192,0,0,0,0,0,1,1,20200308,20200405
8938,0,0,0,0,0,1,1,20200308,20200405
10732,1,1,1,1,1,0,0,20200413,20200526
6812,1,1,1,1,1,1,0,20200314,20200405
