service_id,date,exception_type
9763,20200413,2
9763,20200521,2
12321,20200425,1
12321,20200508,1
12321,20200509,1
8506,20200418,1
8506,20200516,1
4292,20200412,2
4292,20200419,2
4292,20200426,2
4292,20200503,2
4292,20200510,2
12323,20200521,1
12323,20200411,2
12323,20200425,2
12323,20200502,2
12323,20200509,2
12324,20200415,1
12324,20200416,1
12324,20200417,1
12324,20200421,1
12324,20200422,1
12324,20200423,1
12324,20200424,1
12324,20200512,1
12324,20200513,1
12324,20200514,1
12324,20200515,1
12324,20200519,1
12324,20200520,1
12324,20200522,1
12324,20200526,1
12324,20200428,1
12324,20200429,1
12324,20200430,1
12324,20200505,1
12324,20200506,1
12324,20200507,1
12324,20200414,2
12324,20200521,2
12325,20200424,1
12325,20200420,1
12325,20200421,1
12325,20200422,1
12325,20200423,1
12325,20200426,1
12325,20200427,1
12325,20200428,1
12325,20200429,1
12325,20200430,1
12325,20200503,1
12325,20200504,1
12325,20200505,1
12325,20200506,1
12325,20200507,1
12325,20200510,1
12325,20200419,1
12325,20200413,1
12325,20200414,1
12325,20200415,1
12325,20200416,1
12325,20200417,1
12325,20200418,1
12325,20200511,1
12325,20200512,1
12325,20200513,1
12325,20200514,1
12325,20200515,1
12325,20200516,1
12325,20200518,1
12325,20200519,1
12325,20200520,1
12325,20200521,1
12325,20200522,1
12325,20200523,1
12325,20200525,1
12325,20200526,1
5248,20200228,1
12326,20200425,1
12326,20200508,1
12326,20200509,1
12327,20200425,1
12327,20200508,1
12327,20200509,1
12328,20200425,1
12328,20200508,1
12328,20200509,1
6205,20200413,2
6205,20200521,2
6205,20200501,2
6205,20200508,2
6203,20200413,1
6203,20200412,2
1100,20200521,1
1100,20200411,2
1100,20200425,2
1100,20200502,2
1100,20200509,2
12329,20200413,1
12329,20200510,1
12329,20200419,2
12330,20200414,1
12330,20200415,1
12330,20200416,1
12330,20200417,1
12330,20200418,1
12330,20200406,1
12330,20200407,1
12330,20200408,1
12330,20200409,1
12330,20200410,1
12330,20200420,1
12330,20200421,1
12330,20200422,1
12330,20200423,1
12330,20200424,1
12330,20200511,1
12330,20200512,1
12330,20200513,1
12330,20200514,1
12330,20200515,1
12330,20200518,1
12330,20200519,1
12330,20200520,1
12330,20200522,1
12330,20200525,1
12330,20200526,1
12330,20200427,1
12330,20200428,1
12330,20200429,1
12330,20200430,1
12330,20200504,1
12330,20200505,1
12330,20200506,1
12330,20200507,1
12330,20200413,2
12330,20200521,2
9020,20200226,1
9020,20200227,1
9020,20200228,1
9020,20200302,1
9020,20200303,1
9020,20200304,1
9020,20200305,1
9020,20200306,1
9020,20200414,1
9020,20200415,1
9020,20200416,1
9020,20200417,1
9020,20200420,1
9020,20200421,1
9020,20200422,1
9020,20200423,1
9020,20200424,1
9020,20200427,1
9020,20200428,1
9020,20200429,1
9020,20200430,1
9020,20200511,1
9020,20200512,1
9020,20200513,1
9020,20200514,1
9020,20200515,1
9020,20200518,1
9020,20200519,1
9020,20200520,1
9020,20200522,1
9020,20200525,1
9020,20200526,1
9020,20200507,1
9020,20200313,1
9020,20200410,1
9020,20200413,2
9020,20200521,2
9020,20200501,2
9020,20200508,2
12334,20200425,1
12334,20200508,1
12334,20200509,1
6853,20200521,1
6853,20200418,1
6853,20200516,1
6853,20200523,1
12339,20200413,1
6948,20200226,1
6948,20200227,1
6948,20200228,1
6948,20200302,1
6948,20200303,1
6948,20200304,1
6948,20200305,1
6948,20200306,1
6948,20200414,1
6948,20200415,1
6948,20200416,1
6948,20200417,1
6948,20200420,1
6948,20200421,1
6948,20200422,1
6948,20200423,1
6948,20200424,1
6948,20200427,1
6948,20200428,1
6948,20200429,1
6948,20200430,1
6948,20200511,1
6948,20200512,1
6948,20200513,1
6948,20200514,1
6948,20200515,1
6948,20200518,1
6948,20200519,1
6948,20200520,1
6948,20200522,1
6948,20200525,1
6948,20200526,1
6948,20200413,2
6948,20200521,2
6948,20200501,2
6946,20200309,1
6946,20200310,1
6946,20200311,1
6946,20200312,1
6946,20200313,1
6946,20200406,1
6946,20200407,1
6946,20200408,1
6946,20200409,1
6946,20200410,1
531,20200413,2
531,20200521,2
531,20200501,2
531,20200508,2
11790,20200413,2
11790,20200521,2
11790,20200427,2
11790,20200428,2
11790,20200429,2
11790,20200430,2
11790,20200501,2
11790,20200504,2
11790,20200505,2
11790,20200506,2
11790,20200507,2
11790,20200508,2
11790,20200511,2
11790,20200512,2
11790,20200513,2
11790,20200514,2
11790,20200515,2
7191,20200412,2
7191,20200503,2
7191,20200510,2
34,20200515,1
12343,20200412,2
12343,20200426,2
12343,20200510,2
12344,20200414,1
12344,20200420,1
12344,20200427,1
12344,20200504,1
12344,20200511,1
12344,20200518,1
12344,20200525,1
12344,20200413,2
12345,20200413,1
12345,20200417,1
12345,20200418,1
12345,20200419,1
12345,20200521,1
12345,20200523,1
12345,20200516,1
12345,20200424,1
12345,20200410,1
12345,20200426,1
12345,20200503,1
12345,20200510,1
12345,20200517,1
12345,20200524,1
12345,20200412,2
1694,20200430,1
1694,20200507,1
1694,20200520,1
1694,20200501,2
1694,20200508,2
2865,20200420,1
2865,20200421,1
2865,20200422,1
2865,20200423,1
2865,20200424,1
2865,20200518,1
2865,20200519,1
2865,20200520,1
2865,20200522,1
2865,20200414,1
2865,20200415,1
2865,20200416,1
2865,20200417,1
2865,20200525,1
2865,20200526,1
2864,20200515,1
2864,20200430,2
12349,20200411,2
12352,20200302,1
12352,20200303,1
12352,20200304,1
12352,20200305,1
12352,20200306,1
12352,20200226,1
12352,20200227,1
12352,20200228,1
12352,20200521,1
12352,20200418,1
12352,20200516,1
12352,20200523,1
1099,20200413,2
1099,20200521,2
1099,20200501,2
1099,20200508,2
12355,20200414,1
12355,20200413,2
12356,20200425,1
12356,20200508,1
12356,20200509,1
9021,20200309,1
9021,20200310,1
9021,20200311,1
9021,20200312,1
9021,20200406,1
9021,20200407,1
9021,20200408,1
9021,20200409,1
9021,20200504,1
9021,20200505,1
9021,20200506,1
12358,20200521,1
12358,20200523,1
12358,20200413,1
12358,20200418,1
12358,20200516,1
12358,20200412,2
12360,20200413,2
12360,20200521,2
12360,20200501,2
12360,20200508,2
12361,20200521,1
12361,20200418,1
12361,20200516,1
12361,20200523,1
12363,20200516,1
12363,20200418,1
12363,20200521,1
12363,20200523,1
12365,20200526,1
12365,20200414,2
12365,20200520,2
12365,20200430,2
12365,20200507,2
11201,20200521,1
11201,20200516,1
11201,20200517,1
11201,20200523,1
11201,20200524,1
11201,20200418,1
11191,20200309,1
11191,20200310,1
11191,20200311,1
11191,20200312,1
11191,20200313,1
11191,20200406,1
11191,20200407,1
11191,20200408,1
11191,20200409,1
11191,20200410,1
11191,20200504,1
11191,20200505,1
11191,20200506,1
11191,20200507,1
11219,20200521,1
11219,20200516,1
11219,20200517,1
11219,20200523,1
11219,20200524,1
11219,20200301,1
11219,20200229,1
11219,20200307,1
11219,20200418,1
9551,20200418,1
9551,20200226,1
9551,20200227,1
9551,20200228,1
9551,20200229,1
9551,20200301,1
9551,20200302,1
9551,20200303,1
9551,20200304,1
9551,20200305,1
9551,20200306,1
9551,20200307,1
9551,20200308,1
9551,20200309,1
9551,20200310,1
9551,20200311,1
9551,20200312,1
9551,20200313,1
9551,20200314,1
9551,20200315,1
9551,20200316,1
9551,20200317,1
9551,20200318,1
9551,20200319,1
9551,20200320,1
9551,20200321,1
9551,20200322,1
9551,20200323,1
9551,20200324,1
9551,20200325,1
9551,20200326,1
9551,20200327,1
9551,20200328,1
9551,20200329,1
9551,20200330,1
9551,20200331,1
9551,20200401,1
9551,20200402,1
9551,20200403,1
9551,20200404,1
9551,20200405,1
9551,20200406,1
9551,20200407,1
9551,20200408,1
9551,20200409,1
9551,20200410,1
9551,20200420,1
9551,20200421,1
9551,20200422,1
9551,20200423,1
9551,20200424,1
9551,20200511,1
9551,20200512,1
9551,20200513,1
9551,20200514,1
9551,20200515,1
9551,20200516,1
9551,20200517,1
9551,20200518,1
9551,20200519,1
9551,20200520,1
9551,20200521,1
9551,20200522,1
9551,20200523,1
9551,20200524,1
9551,20200525,1
9551,20200526,1
9551,20200413,2
9551,20200501,2
9551,20200508,2
9551,20200411,2
9551,20200412,2
9551,20200425,2
9551,20200426,2
6319,20200413,1
6319,20200412,2
11221,20200521,1
11221,20200516,1
11221,20200517,1
11221,20200523,1
11221,20200524,1
11221,20200418,1
299,20200301,1
11220,20200226,1
11220,20200227,1
11220,20200228,1
11220,20200302,1
11220,20200303,1
11220,20200304,1
11220,20200305,1
11220,20200306,1
11220,20200414,1
11220,20200415,1
11220,20200416,1
11220,20200417,1
11220,20200420,1
11220,20200421,1
11220,20200422,1
11220,20200423,1
11220,20200424,1
11220,20200427,1
11220,20200428,1
11220,20200429,1
11220,20200430,1
11220,20200511,1
11220,20200512,1
11220,20200513,1
11220,20200514,1
11220,20200515,1
11220,20200518,1
11220,20200519,1
11220,20200520,1
11220,20200522,1
11220,20200525,1
11220,20200526,1
11220,20200413,2
11220,20200521,2
11220,20200501,2
919,20200308,1
2932,20200226,1
2932,20200227,1
2932,20200228,1
2932,20200302,1
2932,20200303,1
2932,20200304,1
2932,20200305,1
2932,20200306,1
2932,20200511,1
2932,20200512,1
2932,20200513,1
2932,20200514,1
2932,20200515,1
2932,20200518,1
2932,20200519,1
2932,20200520,1
2932,20200522,1
2932,20200525,1
2932,20200526,1
2932,20200427,1
2932,20200428,1
2932,20200429,1
2932,20200430,1
2932,20200504,1
2932,20200505,1
2932,20200506,1
2932,20200507,1
2932,20200413,2
2932,20200521,2
2828,20200521,1
2828,20200426,1
2828,20200516,1
2828,20200517,1
2828,20200523,1
2828,20200524,1
2828,20200411,2
2828,20200412,2
2828,20200502,2
2828,20200503,2
2828,20200509,2
2828,20200510,2
2826,20200413,1
2826,20200503,1
2826,20200419,2
5459,20200521,1
5459,20200418,1
5459,20200516,1
5459,20200523,1
377,20200413,2
377,20200521,2
377,20200501,2
377,20200508,2
499,20200413,2
499,20200521,2
499,20200501,2
499,20200508,2
2961,20200314,1
2961,20200308,1
2961,20200523,1
11209,20200412,2
11209,20200426,2
11209,20200503,2
11209,20200510,2
1638,20200414,1
1638,20200415,1
1638,20200416,1
1638,20200417,1
1638,20200420,1
1638,20200421,1
1638,20200422,1
1638,20200423,1
1638,20200424,1
1638,20200427,1
1638,20200428,1
1638,20200429,1
1638,20200430,1
1638,20200504,1
1638,20200505,1
1638,20200506,1
1638,20200507,1
1638,20200521,2
