route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1506035,9763,OCESN037071R0100119584,"37071",1,,
OCE1506035,12321,OCESN003191F060067210,"3191",1,,
OCE1506035,8506,OCESN003191F020027208,"3191",1,,
OCE1506035,2292,OCESN003191F010017211,"3191",1,,
OCE1506035,4292,OCESN003103F150157061,"3103",1,,
OCE1506035,12322,OCESN003101F060067055,"3101",1,,
OCE1506035,12323,OCESN003103F140147060,"3103",1,,
OCE1506035,12324,OCESN003101F050057054,"3101",1,,
OCE1506035,12325,OCESN003123F07007~NIB54498,"3123",1,,
OCE1506035,5248,OCESN003131F130137201,"3131",1,,
OCE1506035,12326,OCESN003123F09009~NIB54497,"3123",1,,
OCE1506035,4035,OCESN003113F070077124,"3113",1,,
OCE1506035,12327,OCESN003121F11011~NIB54493,"3121",1,,
OCE1506035,12328,OCESN003129F13013~NIR54511,"3129",1,,
OCE1506035,6205,OCESN003129F110117192,"3129",1,,
OCE1506035,6203,OCESN003129F070077189,"3129",1,,
OCE1506035,1100,OCESN003129F040047193,"3129",1,,
OCE1506035,12329,OCESN003121F04004~NIB54491,"3121",1,,
OCE1506035,12330,OCESN003121F06006~NIB54492,"3121",1,,
OCE1506035,12331,OCESN003113F200207127,"3113",1,,
OCE1506035,12332,OCESN003105F27027~NIB54453,"3105",1,,
OCE1506035,9020,OCESN003115F190197134,"3115",1,,
OCE1506035,12333,OCESN003105F41041~NIR54454,"3105",1,,
OCE1506035,12334,OCESN003125F18018~NIB54502,"3125",1,,
OCE1506035,12335,OCESN003107F18018~NIB54459,"3107",1,,
OCE1506035,6945,OCESN003109F300307101,"3109",1,,
OCE1506035,12336,OCESN003107F22022~NIB54460,"3107",1,,
OCE1506035,12337,OCESN003107F220227089,"3107",1,,
OCE1506035,6853,OCESN003107F170177090,"3107",1,,
OCE1506035,12338,OCESN003109F220227102,"3109",1,,
OCE1506035,4292,OCESN003109F230237107,"3109",1,,
OCE1506035,12339,OCESN003125F25025~NIR54503,"3125",1,,
OCE1506035,12340,OCESN003127F08008~NIR54506,"3127",1,,
OCE1506035,6948,OCESN003109F320327106,"3109",1,,
OCE1506035,12341,OCESN003109F390397103,"3109",1,,
OCE1506035,6946,OCESN003109F240247105,"3109",1,,
OCE1506035,531,OCESN003105F300307077,"3105",1,,
OCE1506035,1100,OCESN003111F010017118,"3111",1,,
OCE1506035,11790,OCESN003111F070077117,"3111",1,,
OCE1506035,7191,OCESN003105F400407076,"3105",1,,
OCE1506035,1100,OCESN003105F420427072,"3105",1,,
OCE1506035,34,OCESN003111F080087116,"3111",1,,
OCE1506035,5145,OCESN003107F210217086,"3107",1,,
OCE1506035,2292,OCESN003107F140147088,"3107",1,,
OCE1506035,12342,OCESN003127F01001~NIB54507,"3127",1,,
OCE1506035,6334,OCESN003123F120127171,"3123",1,,
OCE1506035,12343,OCESN003121F040047161,"3121",1,,
OCE1506035,12344,OCESN003101F05005~NIB54446,"3101",1,,
OCE1506035,12345,OCESN003131F16016~NIB54517,"3131",1,,
OCE1506035,12346,OCESN003131F160167200,"3131",1,,
OCE1506035,12347,OCESN003131F18018~NIB54516,"3131",1,,
OCE1506035,1694,OCESN003117F050057149,"3117",1,,
OCE1506035,4292,OCESN003117F100107146,"3117",1,,
OCE1506035,2865,OCESN003119F110117157,"3119",1,,
OCE1506035,2864,OCESN003119F120127156,"3119",1,,
OCE1506035,12348,OCESN003113F14014~NIB54476,"3113",1,,
OCE1506035,12349,OCESN003109F22022~NIB54467,"3109",1,,
OCE1506035,6332,OCESN003123F110117170,"3123",1,,
OCE1506035,12350,OCESN003123F070077169,"3123",1,,
OCE1506035,12351,OCESN003109F38038~NIR54466,"3109",1,,
